"beta_0","beta_1","beta_2","lambda"
"202",4.70548687494642,-1.41789000686309,-2.92557548071805,0.0498121718844811
"203",4.50171260406251,-0.821765548847668,-3.62055795790477,0.0551693666668495
"204",5.16223895663347,-1.73854772105185,-3.34582795099294,0.0325885714825556
"205",7.14420967270011,-3.91042338038481,-3.69794837243116,0.0151931696132189
"206",4.81948865069038,-0.651835382444171,-3.70032695384716,0.0651964022217228
"207",5.48287965659484,-1.75081206012585,-3.03788694868582,0.0298781795514212
"208",7.27586997677379,-3.74068034341097,-3.18160585574518,0.0149353418640891
"209",5.40398763079301,-1.40655886934699,-1.86966782718543,0.0459717393416036
"210",5.45377248741979,-1.57727447135833,-1.56394129230827,0.0478041728792922
"211",6.25528994138652,-2.50367776189032,-0.119843896402066,0.0149353418640891
"212",3.8274408460418,-0.242077867011655,4.3549412181129,0.0149353418640891
"213",5.45998857697937,-0.741452425696848,-3.14887561821592,0.0731814364508241
"214",6.04289910861193,-2.1192353207426,-2.25195036906508,0.038159090330518
"215",6.03861908525708,-1.69049834423486,-3.36836674907164,0.0512476409087701
"216",6.22362184651387,-1.75107370302205,-3.1652010522892,0.0535118496170454
"217",5.08660769379296,-1.46697078071812,3.9894254062121,0.0149353418640891
"218",6.37599051573399,-1.63295367137429,-3.38613772877391,0.0676722688967723
"219",6.43035227055264,-1.91584430175538,-3.7337800628848,0.0618197155239242
"220",7.04180939293665,-2.81691769239261,-3.33459624401007,0.0459717393416036
"221",7.24629472549614,-2.86375049163053,-4.4069120540292,0.0416996502472214
"222",7.82109910737619,-3.30846064175013,-6.14656988155738,0.0448204352049977
"223",7.22501264444011,-0.89656503538495,-8.16402599584975,0.0747002617866043
"224",7.96678649803648,-2.99838560396776,-6.49167138442031,0.0498121718844811
"225",7.41083634106432,-2.75832399097763,-4.71595176921342,0.0578389648504716
